cv_index,cv_objective,rank,job_index,job_position,job_company,job_location,similarity_score
0,Big data analytics working and database warehouse manager with robust experience in handling all kin,1,165,Principal Software Engineer,Microsoft,"Redmond, WA 98052",0.11235673090618306
0,Big data analytics working and database warehouse manager with robust experience in handling all kin,2,85,"Azure Data Scientist, Manager",KPMG,"Atlanta, GA 30338",0.10579333642316234
0,Big data analytics working and database warehouse manager with robust experience in handling all kin,3,90,Data & Analytics Developer,SunTrust,"Atlanta, GA",0.09964040227471982
0,Big data analytics working and database warehouse manager with robust experience in handling all kin,4,42,Manager - Data Scientist ! Orlando!,Capgemini,"Atlanta, GA",0.09886871489585794
0,Big data analytics working and database warehouse manager with robust experience in handling all kin,5,162,Senior Engineering Architect,Microsoft,"Redmond, WA 98052",0.0903961152828309
0,Big data analytics working and database warehouse manager with robust experience in handling all kin,6,25,Data Scientist,AirSage,"Atlanta, GA",0.0898075369864552
0,Big data analytics working and database warehouse manager with robust experience in handling all kin,7,18,Data Scientist,Relus Cloud,"Atlanta, GA",0.08418250035359928
0,Big data analytics working and database warehouse manager with robust experience in handling all kin,8,178,Data Scientist - CA,Bind Benefits,"San Francisco, CA 94103",0.0840627964310871
0,Big data analytics working and database warehouse manager with robust experience in handling all kin,9,98,Data Science Instructor,General Assembly,"Atlanta, GA",0.07928572622421506
0,Big data analytics working and database warehouse manager with robust experience in handling all kin,10,36,Data Scientist,The Intersect Group,"Atlanta, GA 30328",0.07893619716671633
1,Fresher looking to join as a data analyst and junior data scientist. Experienced in creating meaning,1,151,Machine Learning Engineer,Natero,"Mountain View, CA 94040",0.08857008138865319
1,Fresher looking to join as a data analyst and junior data scientist. Experienced in creating meaning,2,169,Business Intelligence Specialist,"Facility Management Planners, Inc","San Diego, CA 92109",0.08676344032919611
1,Fresher looking to join as a data analyst and junior data scientist. Experienced in creating meaning,3,81,Director of Data Science,Prestige Staffing,"Atlanta, GA",0.08342180876542586
1,Fresher looking to join as a data analyst and junior data scientist. Experienced in creating meaning,4,177,Research Scientist - Amazon Restaurants,Amazon.com,"Seattle, WA",0.08340544852247567
1,Fresher looking to join as a data analyst and junior data scientist. Experienced in creating meaning,5,27,Data Scientist - ICL,Georgia Tech Research Institute,"Atlanta, GA 30318 ",0.08222610565400933
1,Fresher looking to join as a data analyst and junior data scientist. Experienced in creating meaning,6,124,Senior Data Analyst,NORC at the University of Chicago,"Chicago, IL",0.08183673917819757
1,Fresher looking to join as a data analyst and junior data scientist. Experienced in creating meaning,7,34,Data Scientist,SalesLoft,"Atlanta, GA",0.07966400216883177
1,Fresher looking to join as a data analyst and junior data scientist. Experienced in creating meaning,8,42,Manager - Data Scientist ! Orlando!,Capgemini,"Atlanta, GA",0.07489891672266308
1,Fresher looking to join as a data analyst and junior data scientist. Experienced in creating meaning,9,61,Data Engineer,Gallup,"Atlanta, GA",0.07267901142511696
1,Fresher looking to join as a data analyst and junior data scientist. Experienced in creating meaning,10,57,Data Scientist or Data Scientist Lead PS10268,"Anthem, Inc.","Atlanta, GA 30301 ",0.07260727406633104
2,nan,1,161,Machine Learning Engineer/Deep Learning Engineer(Local only),BrickRed Systems,"Redmond, WA",0.10777968448186952
2,nan,2,151,Machine Learning Engineer,Natero,"Mountain View, CA 94040",0.06540836513241044
2,nan,3,81,Director of Data Science,Prestige Staffing,"Atlanta, GA",0.058324063183209075
2,nan,4,152,Machine Learning/Deep Learning Scientist,DNAnexus,"Mountain View, CA",0.05428805632794554
2,nan,5,185,Sr. Software Engineer - Machine Learning (PHD preferred),"Petuum, Inc","Sunnyvale, CA",0.05210166035732192
2,nan,6,174,Head Data Scientist,All-In Analytics,"Seattle, WA",0.05141702887354097
2,nan,7,52,"VP, Data Scientist- Atlanta, GA; Charlotte, NC",Bank of America Merchant Services,"Atlanta, GA",0.05035301719907934
2,nan,8,160,Market Research Analyst,Blueocean Market Intelligence,"Redmond, WA 98052",0.04967782593909657
2,nan,9,36,Data Scientist,The Intersect Group,"Atlanta, GA 30328",0.04822587423365971
2,nan,10,63,Machine Learning / Artificial Intelligence Research Scientist,Symantec,"Atlanta, GA 30338",0.04654560114028727
3,"To obtain a position in a fast-paced business office environment, demanding a strong organizational,",1,119,Senior Account Executive,h2o.ai,"Boston, MA",0.0712082305524313
3,"To obtain a position in a fast-paced business office environment, demanding a strong organizational,",2,73,Quantitative Analyst,GreenSky,"Atlanta, GA 30342 ",0.07092339288966219
3,"To obtain a position in a fast-paced business office environment, demanding a strong organizational,",3,139,Research Analyst,"SHIELDS for Families, Inc.","Los Angeles, CA 90002",0.06684224805339185
3,"To obtain a position in a fast-paced business office environment, demanding a strong organizational,",4,125,Developer / Quantitative Analyst (Entry Level) - Chicago,DV Trading LLC,"Chicago, IL 60642",0.06409433800903513
3,"To obtain a position in a fast-paced business office environment, demanding a strong organizational,",5,52,"VP, Data Scientist- Atlanta, GA; Charlotte, NC",Bank of America Merchant Services,"Atlanta, GA",0.06331276011721886
3,"To obtain a position in a fast-paced business office environment, demanding a strong organizational,",6,158,Data Scientist,Blackboard Insurance,"New York, NY",0.060866039900677404
3,"To obtain a position in a fast-paced business office environment, demanding a strong organizational,",7,109,"Research Engineering/ Scientist Associate II - Research Associate, Data Integration Team, Department of Population Health",University of Texas at Austin,"Austin, TX",0.0593222106180535
3,"To obtain a position in a fast-paced business office environment, demanding a strong organizational,",8,6,"Product Specialist - Periscope, New Ventures",McKinsey & Company,"Atlanta, GA 30318 ",0.057106146365327785
3,"To obtain a position in a fast-paced business office environment, demanding a strong organizational,",9,137,Analyst - Optimization,The Boston Consulting Group,"Los Angeles, CA",0.055916622335403454
3,"To obtain a position in a fast-paced business office environment, demanding a strong organizational,",10,122,Field Application Scientist - Boston,10x Genomics,"Boston, MA",0.05472675950657862
4,Professional accountant with an outstanding work ethic and integrity seeking to make a valuable cont,1,95,Quantitative Finance Analyst,Bank of America,"Atlanta, GA 30308 ",0.0733231760770415
4,Professional accountant with an outstanding work ethic and integrity seeking to make a valuable cont,2,169,Business Intelligence Specialist,"Facility Management Planners, Inc","San Diego, CA 92109",0.06565290493867748
4,Professional accountant with an outstanding work ethic and integrity seeking to make a valuable cont,3,109,"Research Engineering/ Scientist Associate II - Research Associate, Data Integration Team, Department of Population Health",University of Texas at Austin,"Austin, TX",0.05824600718924303
4,Professional accountant with an outstanding work ethic and integrity seeking to make a valuable cont,4,123,Associate Research Analyst,Harvard Pilgrim Health Care,"Boston, MA",0.05780288312581148
4,Professional accountant with an outstanding work ethic and integrity seeking to make a valuable cont,5,17,Senior Mobile Developer (iOS/Android),Perficient,"Atlanta, GA 30338",0.05502122258758633
4,Professional accountant with an outstanding work ethic and integrity seeking to make a valuable cont,6,60,Scientist II/Ecologist II,HNTB Corporation,"Atlanta, GA 30327 ",0.05403988577138172
4,Professional accountant with an outstanding work ethic and integrity seeking to make a valuable cont,7,8,Analyst - CIB Credit Research,SunTrust,"Atlanta, GA",0.05376753883061883
4,Professional accountant with an outstanding work ethic and integrity seeking to make a valuable cont,8,125,Developer / Quantitative Analyst (Entry Level) - Chicago,DV Trading LLC,"Chicago, IL 60642",0.05244964515338723
