cv_index,cv_objective,rank,job_index,job_position,job_company,job_location,similarity_score
0,Big data analytics working and database warehouse manager with robust experience in handling all kin,1,165,Principal Software Engineer,Microsoft,"Redmond, WA 98052",0.1246613116852498
0,Big data analytics working and database warehouse manager with robust experience in handling all kin,2,85,"Azure Data Scientist, Manager",KPMG,"Atlanta, GA 30338",0.11968580899222035
0,Big data analytics working and database warehouse manager with robust experience in handling all kin,3,25,Data Scientist,AirSage,"Atlanta, GA",0.1171202069533955
0,Big data analytics working and database warehouse manager with robust experience in handling all kin,4,162,Senior Engineering Architect,Microsoft,"Redmond, WA 98052",0.11648383450139775
0,Big data analytics working and database warehouse manager with robust experience in handling all kin,5,90,Data & Analytics Developer,SunTrust,"Atlanta, GA",0.1085956500561183
0,Big data analytics working and database warehouse manager with robust experience in handling all kin,6,42,Manager - Data Scientist ! Orlando!,Capgemini,"Atlanta, GA",0.10505402039151808
0,Big data analytics working and database warehouse manager with robust experience in handling all kin,7,178,Data Scientist - CA,Bind Benefits,"San Francisco, CA 94103",0.1033155825379793
0,Big data analytics working and database warehouse manager with robust experience in handling all kin,8,98,Data Science Instructor,General Assembly,"Atlanta, GA",0.09867918027508395
0,Big data analytics working and database warehouse manager with robust experience in handling all kin,9,149,Quantitative Researcher - AI and Machine Learning Specialist,American Century Investments,"Mountain View, CA 94043",0.09796471474094384
0,Big data analytics working and database warehouse manager with robust experience in handling all kin,10,18,Data Scientist,Relus Cloud,"Atlanta, GA",0.09746877769882348
1,Fresher looking to join as a data analyst and junior data scientist. Experienced in creating meaning,1,169,Business Intelligence Specialist,"Facility Management Planners, Inc","San Diego, CA 92109",0.12817996405989818
1,Fresher looking to join as a data analyst and junior data scientist. Experienced in creating meaning,2,177,Research Scientist - Amazon Restaurants,Amazon.com,"Seattle, WA",0.12028196687470617
1,Fresher looking to join as a data analyst and junior data scientist. Experienced in creating meaning,3,151,Machine Learning Engineer,Natero,"Mountain View, CA 94040",0.11661548352502324
1,Fresher looking to join as a data analyst and junior data scientist. Experienced in creating meaning,4,81,Director of Data Science,Prestige Staffing,"Atlanta, GA",0.11518933243332302
1,Fresher looking to join as a data analyst and junior data scientist. Experienced in creating meaning,5,27,Data Scientist - ICL,Georgia Tech Research Institute,"Atlanta, GA 30318 ",0.11211021578602651
1,Fresher looking to join as a data analyst and junior data scientist. Experienced in creating meaning,6,124,Senior Data Analyst,NORC at the University of Chicago,"Chicago, IL",0.11072492276670035
1,Fresher looking to join as a data analyst and junior data scientist. Experienced in creating meaning,7,34,Data Scientist,SalesLoft,"Atlanta, GA",0.1074613275261835
1,Fresher looking to join as a data analyst and junior data scientist. Experienced in creating meaning,8,61,Data Engineer,Gallup,"Atlanta, GA",0.10548633546561667
1,Fresher looking to join as a data analyst and junior data scientist. Experienced in creating meaning,9,110,Lead Data Scientist,Clockwork Solutions,"Austin, TX 78746",0.10433481649451283
1,Fresher looking to join as a data analyst and junior data scientist. Experienced in creating meaning,10,98,Data Science Instructor,General Assembly,"Atlanta, GA",0.10150389340193254
2,nan,1,161,Machine Learning Engineer/Deep Learning Engineer(Local only),BrickRed Systems,"Redmond, WA",0.22103398988973175
2,nan,2,151,Machine Learning Engineer,Natero,"Mountain View, CA 94040",0.1269764042543107
2,nan,3,152,Machine Learning/Deep Learning Scientist,DNAnexus,"Mountain View, CA",0.10961368014489631
2,nan,4,185,Sr. Software Engineer - Machine Learning (PHD preferred),"Petuum, Inc","Sunnyvale, CA",0.10072890436480776
2,nan,5,174,Head Data Scientist,All-In Analytics,"Seattle, WA",0.09276699783794833
2,nan,6,52,"VP, Data Scientist- Atlanta, GA; Charlotte, NC",Bank of America Merchant Services,"Atlanta, GA",0.08694667491265631
2,nan,7,36,Data Scientist,The Intersect Group,"Atlanta, GA 30328",0.08686600690367018
2,nan,8,63,Machine Learning / Artificial Intelligence Research Scientist,Symantec,"Atlanta, GA 30338",0.08683086173985095
2,nan,9,160,Market Research Analyst,Blueocean Market Intelligence,"Redmond, WA 98052",0.08678751444870844
2,nan,10,176,"Manager, Data Science - Consumer Payments",Amazon.com,"Seattle, WA",0.0819596586249595
3,"To obtain a position in a fast-paced business office environment, demanding a strong organizational,",1,139,Research Analyst,"SHIELDS for Families, Inc.","Los Angeles, CA 90002",0.1202582757143307
3,"To obtain a position in a fast-paced business office environment, demanding a strong organizational,",2,119,Senior Account Executive,h2o.ai,"Boston, MA",0.11898706947363655
3,"To obtain a position in a fast-paced business office environment, demanding a strong organizational,",3,73,Quantitative Analyst,GreenSky,"Atlanta, GA 30342 ",0.1182521669131118
3,"To obtain a position in a fast-paced business office environment, demanding a strong organizational,",4,125,Developer / Quantitative Analyst (Entry Level) - Chicago,DV Trading LLC,"Chicago, IL 60642",0.10722517819406537
3,"To obtain a position in a fast-paced business office environment, demanding a strong organizational,",5,52,"VP, Data Scientist- Atlanta, GA; Charlotte, NC",Bank of America Merchant Services,"Atlanta, GA",0.10652806622869425
3,"To obtain a position in a fast-paced business office environment, demanding a strong organizational,",6,122,Field Application Scientist - Boston,10x Genomics,"Boston, MA",0.09797230941475493
3,"To obtain a position in a fast-paced business office environment, demanding a strong organizational,",7,176,"Manager, Data Science - Consumer Payments",Amazon.com,"Seattle, WA",0.09208826061566043
3,"To obtain a position in a fast-paced business office environment, demanding a strong organizational,",8,137,Analyst - Optimization,The Boston Consulting Group,"Los Angeles, CA",0.09093598281813478
3,"To obtain a position in a fast-paced business office environment, demanding a strong organizational,",9,109,"Research Engineering/ Scientist Associate II - Research Associate, Data Integration Team, Department of Population Health",University of Texas at Austin,"Austin, TX",0.08906176659883044
3,"To obtain a position in a fast-paced business office environment, demanding a strong organizational,",10,111,GIS Analyst and Research Associate,Banks Environmental Data,"Austin, TX 78701",0.08769387603882768
